global_rank,continent_rank,score,antidiscrimination_legislation,marriage_civil_partners,adoption_allowed,transgender_rights,intersex_3rd_option,equal_age_of_consent,conversion_therapy,lgbt_marketing,religious_influence,hiv_travel_restrictions,anti_gay_laws,homossexuality_illegal,pride_banned,locals_hostile,prosecution,murders,death_sentences,continent_id,region_id
25,15,-11,0,-1,0,0,-1,0,-1,0,-2,-1,-1,-1,0,-2,-1,0,0,c1,c1r42
25,15,-11,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,0,0,c1,c1r44
26,16,-12,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,0,-1,c1,c1r0
26,16,-12,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,0,0,-2,-1,-1,0,c1,c1r12
26,16,-12,0,-1,0,1,-1,0,-1,0,-2,-1,-1,0,-1,-2,-1,-2,0,c1,c1r33
27,17,-13,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,-1,-1,-1,-1,-1,0,c1,c1r24
28,18,-14,0,-1,-1,-1,-1,0,-1,0,-2,-1,-1,-1,0,-2,-2,0,0,c1,c1r19
28,18,-14,0,-1,-1,-1,-1,0,-1,0,-2,-1,-1,-1,0,-2,-1,0,-1,c1,c1r32
28,18,-14,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,-1,0,-2,-1,-1,-1,c1,c1r43
29,19,-17,0,-1,-1,-1,-1,0,-1,0,-2,-1,-1,-1,0,-2,-2,-2,-1,c1,c1r46
31,20,-19,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-2,-2,-5,c1,c1r1
31,20,-19,0,-1,0,-1,-1,0,0,0,-2,0,-1,-1,-1,-2,-2,-2,-5,c1,c1r7
31,20,-19,0,-1,-1,0,-1,0,-1,0,-2,0,-1,-1,0,-2,-2,-2,-5,c1,c1r11
31,20,-19,0,-1,-1,-1,-1,0,-1,0,-2,-1,-1,-1,0,-2,-1,-1,-5,c1,c1r34
6,1,8,2,2,2,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,c0,c0r38
9,2,5,3,2,2,1,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,c0,c0r44
16,3,-2,1,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,c0,c0r34
17,4,-3,1,-1,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,c0,c0r1
18,5,-4,1,-1,0,0,-1,0,-1,0,-1,0,0,0,0,-1,0,0,0,c0,c0r3
18,5,-4,1,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,c0,c0r6
19,6,-5,0,-1,0,0,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,c0,c0r2
